problem,num_nodes,num_edges,traffic_seed,scale_factor,tm_model,total_demand,algo,num_paths,edge_disjoint,dist_metric,objective,obj_val,runtime
B4.json,12,38,28,1.0,real,27631.546875,Teal,4,True,min-hop,total_flow,26536.6015625,0.004362344741821289
B4.json,12,38,29,1.0,real,26872.892578125,Teal,4,True,min-hop,total_flow,26317.6796875,0.0045013427734375
B4.json,12,38,30,1.0,real,27954.48046875,Teal,4,True,min-hop,total_flow,27382.05078125,0.007902383804321289
B4.json,12,38,31,1.0,real,27966.404296875,Teal,4,True,min-hop,total_flow,27203.1640625,0.004776716232299805
B4.json,12,38,32,1.0,real,29260.921875,Teal,4,True,min-hop,total_flow,28326.09375,0.004095315933227539
B4.json,12,38,33,1.0,real,28288.6328125,Teal,4,True,min-hop,total_flow,27763.0390625,0.003942728042602539
B4.json,12,38,34,1.0,real,28490.2421875,Teal,4,True,min-hop,total_flow,27328.6015625,0.0043489933013916016
B4.json,12,38,35,1.0,real,27384.470703125,Teal,4,True,min-hop,total_flow,26791.53515625,0.004359245300292969
problem,num_nodes,num_edges,traffic_seed,scale_factor,tm_model,total_demand,algo,num_paths,edge_disjoint,dist_metric,objective,obj_val,runtime
B4.json,12,38,28,1.0,real,27631.546875,Teal,4,True,min-hop,total_flow,13275.1904296875,0.014989376068115234
B4.json,12,38,29,1.0,real,26872.892578125,Teal,4,True,min-hop,total_flow,13411.7568359375,0.0051500797271728516
B4.json,12,38,30,1.0,real,27954.48046875,Teal,4,True,min-hop,total_flow,14659.978515625,0.006639242172241211
B4.json,12,38,31,1.0,real,27966.404296875,Teal,4,True,min-hop,total_flow,14940.755859375,0.005053997039794922
B4.json,12,38,32,1.0,real,29260.921875,Teal,4,True,min-hop,total_flow,13133.849609375,0.004868268966674805
B4.json,12,38,33,1.0,real,28288.6328125,Teal,4,True,min-hop,total_flow,14489.091796875,0.00520777702331543
B4.json,12,38,34,1.0,real,28490.2421875,Teal,4,True,min-hop,total_flow,13716.4677734375,0.005152702331542969
B4.json,12,38,35,1.0,real,27384.470703125,Teal,4,True,min-hop,total_flow,14934.201171875,0.005376100540161133
problem,num_nodes,num_edges,traffic_seed,scale_factor,tm_model,total_demand,algo,num_paths,edge_disjoint,dist_metric,objective,obj_val,runtime
problem,num_nodes,num_edges,traffic_seed,scale_factor,tm_model,total_demand,algo,num_paths,edge_disjoint,dist_metric,objective,obj_val,runtime
problem,num_nodes,num_edges,traffic_seed,scale_factor,tm_model,total_demand,algo,num_paths,edge_disjoint,dist_metric,objective,obj_val,runtime
IridiumCat1.json,66,216,9,1.0,toy,314.38397216796875,Teal,4,True,min-hop,total_flow,91.24513244628906,0.05978655815124512
IridiumCat2.json,66,216,9,1.0,toy,327.3199768066406,Teal,4,True,min-hop,total_flow,92.38369750976562,0.011769533157348633
IridiumCat0.json,66,216,10,1.0,toy,299.57598876953125,Teal,4,True,min-hop,total_flow,80.5658950805664,0.010937929153442383
IridiumCat1.json,66,216,10,1.0,toy,293.2039794921875,Teal,4,True,min-hop,total_flow,80.01393127441406,0.01130819320678711
IridiumCat2.json,66,216,10,1.0,toy,304.07598876953125,Teal,4,True,min-hop,total_flow,83.46841430664062,0.01034998893737793
IridiumCat0.json,66,216,11,1.0,toy,309.947998046875,Teal,4,True,min-hop,total_flow,86.65693664550781,0.011537551879882812
IridiumCat1.json,66,216,11,1.0,toy,326.3199768066406,Teal,4,True,min-hop,total_flow,86.37940979003906,0.011577367782592773
IridiumCat2.json,66,216,11,1.0,toy,285.01202392578125,Teal,4,True,min-hop,total_flow,75.89097595214844,0.010978221893310547
